alias_text,norm_text,lang,product_id
Chawal,chawal,hi,rice_raw
Bhaat,bhaat,hi,rice_raw
Basmati,basmati,en,rice_raw
Paddy,paddy,en,rice_raw
Gehu,gehu,hi,wheat_raw
Atta,atta,hi,wheat_raw
Wheat Flour,wheat flour,en,wheat_raw
Kanda,kanda,mr,onion_raw
Pyaz,pyaz,hi,onion_raw
Aloo,aloo,hi,potato_raw
Batata,batata,mr,potato_raw
Tamatar,tamatar,hi,tomato_raw
Ganna,ganna,hi,sugarcane_raw
Us,us,mr,sugarcane_raw
Kela,kela,hi,banana_raw
Aam,aam,hi,mango_raw
Amba,amba,mr,mango_raw
Seb,seb,hi,apple_raw
Nariyal,nariyal,hi,coconut_raw
Chana,chana,hi,chickpea_raw
Harbhara,harbhara,mr,chickpea_raw
Kabuli Chana,kabuli chana,hi,chickpea_raw
Masoor,masoor,hi,lentil_raw
Moongfali,moongfali,hi,groundnut_raw
Peanut,peanut,en,groundnut_raw
Shengdane,shengdane,mr,groundnut_raw
Kapas,kapas,hi,cotton_raw
Doodh,doodh,hi,milk_raw
Anda,anda,hi,egg_raw
Eggs,eggs,en,egg_raw
Murgi,murgi,hi,chicken_raw
Chai Patti,chai patti,hi,tea_raw
Kaapi,kaapi,ta,coffee_raw
Biryani,biryani,en,biryani_chicken
Biriyani,biriyani,en,biryani_chicken
Chicken Biriyani,chicken biriyani,en,biryani_chicken
Murg Biryani,murg biryani,hi,biryani_chicken
Veg Biryani,veg biryani,en,biryani_veg
Dal Chaval,dal chaval,hi,dal_rice
Varan Bhaat,varan bhaat,mr,dal_rice
Dal Bhat,dal bhat,hi,dal_rice
Chapati,chapati,en,roti
Chapathi,chapathi,en,roti
Phulka,phulka,hi,roti
Poli,poli,mr,roti
Idly,idly,en,idli
Dosai,dosai,ta,dosa
Masala Dosai,masala dosai,ta,masala_dosa
Pohe,pohe,mr,poha
Kanda Poha,kanda poha,mr,poha
Uppuma,uppuma,ta,upma
Chhole Bhature,chhole bhature,hi,chole_bhature
Chole,chole,hi,chole_bhature
Rajma Rice,rajma rice,en,rajma_chawal
Paneer Makhani,paneer makhani,hi,paneer_butter_masala
Butter Paneer,butter paneer,en,paneer_butter_masala
Paneer,paneer,hi,paneer_butter_masala
Alu Paratha,alu paratha,hi,aloo_paratha
Parantha,parantha,hi,aloo_paratha
Samosas,samosas,en,samosa
Singhara,singhara,hi,samosa
Wada Pav,wada pav,mr,vada_pav
Vadapav,vadapav,en,vada_pav
Pao Bhaji,pao bhaji,en,pav_bhaji
Thayir Sadam,thayir sadam,ta,curd_rice
Dahi Chawal,dahi chawal,hi,curd_rice
Sambar Sadam,sambar sadam,ta,sambar_rice
Sambhar Rice,sambhar rice,en,sambar_rice
Khichadi,khichadi,hi,khichdi
