crop_id,name_en,name_hi,name_mr,name_ta,category,wf_green,wf_blue,wf_grey,is_animal,is_food,source
rice,Rice,चावल,तांदूळ,அரிசி,cereal,1146,341,187,0,1,S1
wheat,Wheat,गेहूँ,गहू,கோதுமை,cereal,1277,342,207,0,1,S1
maize,Maize,मक्का,मका,மக்காச்சோளம்,cereal,947,81,194,0,1,S1
sorghum,Sorghum (Jowar),ज्वार,ज्वारी,சோளம்,cereal,2857,103,87,0,1,S1
pearl_millet,Pearl Millet (Bajra),बाजरा,बाजरी,கம்பு,cereal,4306,57,136,0,1,S1:approx
finger_millet,Finger Millet (Ragi),रागी,नाचणी,கேழ்வரகு,cereal,2384,0,89,0,1,S1:approx
barley,Barley,जौ,सातू,பார்லி,cereal,1213,79,131,0,1,S1
oats,Oats,जई,ओट्स,ஓட்ஸ்,cereal,1479,181,128,0,1,S1:table3
rye,Rye,राई,राय,ரை,cereal,1419,25,99,0,1,S1:table3
buckwheat,Buckwheat (Kuttu),कुट्टू,कुट्टू,குட்டு,cereal,2769,144,229,0,1,S1:table3
chickpea,Chickpea (Chana),चना,हरभरा,கொண்டைக்கடலை,pulse,2972,224,981,0,1,S1
pigeonpea,Pigeon Pea (Tur),अरहर,तूर,துவரை,pulse,4739,157,344,0,1,S1:approx
lentil,Lentil (Masoor),मसूर,मसूर,மைசூர் பருப்பு,pulse,4324,489,122,0,1,S1:approx
mung_bean,Mung Bean,मूंग,मूग,பாசிப்பயறு,pulse,3180,141,734,0,1,S1:table2-category
black_gram,Black Gram (Urad),उड़द,उडीद,உளுந்து,pulse,3180,141,734,0,1,S1:table2-category
kidney_bean,Kidney Bean (Rajma),राजमा,राजमा,ராஜ்மா,pulse,3945,125,983,0,1,S1
dry_pea,Dry Pea,सूखा मटर,वाटाणा,பட்டாணி,pulse,1453,33,493,0,1,S1
broad_beans,"Broad Beans, dry (Bakla)",बाकला,पावटा,அவரை,pulse,1317,205,496,0,1,S1:table3
soy_curd,Soya Curd (Tofu),टोफू,टोफू,டோஃபு,pulse,2397,83,44,0,1,S1:table3
groundnut,Groundnut,मूंगफली,शेंगदाणे,நிலக்கடலை,oilseed,2469,79,234,0,1,S1
mustard,Mustard / Rapeseed,सरसों,मोहरी,கடுகு,oilseed,1703,231,337,0,1,S1
soybean,Soybean,सोयाबीन,सोयाबीन,சோயா,oilseed,2037,70,37,0,1,S1
sunflower,Sunflower Seed,सूरजमुखी,सूर्यफूल,சூரியகாந்தி,oilseed,3013,61,292,0,1,S1
sesame,Sesame,तिल,तीळ,எள்,oilseed,8460,509,402,0,1,S1
coconut,Coconut,नारियल,नारळ,தேங்காய்,oilseed,2669,0,18,0,1,S1
copra,Copra,खोपरा,खोबरं,கொப்பரை,oilseed,2079,1,12,0,1,S1:table3
linseed,Linseed (Alsi),अलसी,जवस,ஆளி விதை,oilseed,4730,268,170,0,1,S1:table3
safflower,Safflower Seed (Kardi),कुसुम,करडई,குசும்பா,oilseed,6000,938,283,0,1,S1:table3
castor,Castor Oil Seed,अरंडी,एरंड,ஆமணக்கு,oilseed,8423,1175,298,0,0,S1:table3
poppy,Poppy Seed (Khus Khus),खसखस,खसखस,கசகசா,oilseed,1723,0,464,0,1,S1:table3
