off_tag,crop_id,yield_fraction,source
wheat,wheat,1.0,S5
wheat-flour,wheat,0.72,S5
refined-wheat-flour,wheat,0.72,S5
flour,wheat,0.72,S5
semolina,wheat,0.72,S5
rice,rice,0.67,S5
rice-flour,rice,0.67,S5
maize,maize,1.0,S5
corn,maize,1.0,S5
corn-starch,maize,0.65,S5:approx
sugar,sugarcane,0.10,S5
cane-sugar,sugarcane,0.10,S5
sucrose,sugarcane,0.10,S5
invert-syrup,sugarcane,0.10,S5:approx
jaggery,sugarcane,0.11,S5
milk,milk,1.0,S2
milk-solids,milk,0.12,S5:approx
skimmed-milk-powder,milk,0.10,S5:approx
whole-milk-powder,milk,0.13,S5:approx
butter,butter,1.0,S2
milk-fat,butter,1.0,S2
ghee,milk,0.04,S5
cheese,cheese,1.0,S2
paneer,cheese,1.0,S2
egg,egg,1.0,S2
eggs,egg,1.0,S2
chicken,chicken_meat,1.0,S2
mutton,goat_meat,1.0,S2
potato,potato,1.0,S1
potatoes,potato,1.0,S1
onion,onion,1.0,S1
tomato,tomato,1.0,S1
tomato-paste,tomato,0.20,S5:approx
garlic,garlic,1.0,S1
chilli,chilli,1.0,S1
chili-pepper,chilli,1.0,S1
sunflower-oil,sunflower,0.40,S5
sunflower-seeds,sunflower,1.0,S1
palm-oil,coconut,0.20,S5:proxy
mustard-oil,mustard,0.33,S5
rapeseed-oil,mustard,0.33,S5
soybean-oil,soybean,0.18,S5
soy,soybean,1.0,S1
soya,soybean,1.0,S1
groundnut-oil,groundnut,0.40,S5
peanut,groundnut,1.0,S1
peanuts,groundnut,1.0,S1
sesame-seeds,sesame,1.0,S1
coconut,coconut,1.0,S1
coconut-oil,coconut,0.15,S5:approx
chickpea-flour,chickpea,0.85,S5
chickpea,chickpea,1.0,S1
gram,chickpea,1.0,S1
lentil,lentil,1.0,S1
lentils,lentil,1.0,S1
tea,tea,1.0,S1
coffee,coffee,0.84,S5
banana,banana,1.0,S1
mango,mango,1.0,S1
apple,apple,1.0,S1
orange,orange,1.0,S1
cotton,cotton,0.35,S5
added-sugar,sugarcane,0.10,S5
sugars,sugarcane,0.10,S5
glucose,sugarcane,0.10,S5:approx
glucose-syrup,sugarcane,0.10,S5:approx
liquid-glucose,sugarcane,0.10,S5:approx
palm-olein,coconut,0.20,S5:proxy
palm-oil-and-fat,coconut,0.20,S5:proxy
palm-fat,coconut,0.20,S5:proxy
vegetable-oil,sunflower,0.40,S5:proxy
vegetable-oil-and-fat,sunflower,0.40,S5:proxy
vegetable-fat,sunflower,0.40,S5:proxy
edible-vegetable-oil,sunflower,0.40,S5:proxy
refined-palmolein,coconut,0.20,S5:proxy
cereal-flour,wheat,0.72,S5:approx
wheat-semolina,wheat,0.72,S5
atta,wheat,0.80,S5
whole-wheat-flour,wheat,0.80,S5
maida,wheat,0.72,S5
rice-flakes,rice,0.67,S5
gram-flour,chickpea,0.85,S5
besan,chickpea,0.85,S5
milk-powder,milk,0.12,S5:approx
skimmed-milk,milk,1.0,S2
butter-oil,butter,1.0,S2
curd,milk,1.0,S5
yoghurt,milk,1.0,S5
cashew-nut,groundnut,1.0,S5:proxy
cashew,groundnut,1.0,S5:proxy
almond,groundnut,1.0,S5:proxy
turmeric,chilli,1.0,S5:proxy
coriander,chilli,1.0,S5:proxy
cumin,chilli,1.0,S5:proxy
black-pepper,chilli,1.0,S5:proxy
ginger,garlic,1.0,S5:proxy
green-chilli,chilli,1.0,S1
red-chilli,chilli,1.0,S1
onion-powder,onion,0.12,S5:approx
garlic-powder,garlic,0.12,S5:approx
tomato-powder,tomato,0.06,S5:approx
peas,green_pea,1.0,S1
green-peas,green_pea,1.0,S1
carrots,carrot,1.0,S1
cabbage,cabbage,1.0,S1
spinach,spinach,1.0,S1
lentils,lentil,1.0,S1
toor-dal,pigeonpea,1.0,S1
moong-dal,mung_bean,1.0,S1
urad-dal,black_gram,1.0,S1
salt,__non_crop__,1.0,NC:mineral
iodised-salt,__non_crop__,1.0,NC:mineral
water,__non_crop__,1.0,NC:not-embodied
flavouring,__non_crop__,1.0,NC:additive
natural-flavouring,__non_crop__,1.0,NC:additive
artificial-flavouring,__non_crop__,1.0,NC:additive
acidity-regulator,__non_crop__,1.0,NC:additive
raising-agent,__non_crop__,1.0,NC:additive
emulsifier,__non_crop__,1.0,NC:additive
stabiliser,__non_crop__,1.0,NC:additive
preservative,__non_crop__,1.0,NC:additive
antioxidant,__non_crop__,1.0,NC:additive
colour,__non_crop__,1.0,NC:additive
anticaking-agent,__non_crop__,1.0,NC:additive
disaccharide,__non_crop__,1.0,NC:nutrient-class
oil-and-fat,__non_crop__,1.0,NC:category-tag
cereal,__non_crop__,1.0,NC:category-tag
vegetable,__non_crop__,1.0,NC:category-tag
root-vegetable,__non_crop__,1.0,NC:category-tag
dairy,__non_crop__,1.0,NC:category-tag
spice,__non_crop__,1.0,NC:category-tag
condiment,__non_crop__,1.0,NC:category-tag
herb,__non_crop__,1.0,NC:category-tag
e330,__non_crop__,1.0,NC:additive
e500,__non_crop__,1.0,NC:additive
e503,__non_crop__,1.0,NC:additive
e296,__non_crop__,1.0,NC:additive
carbon-dioxide,__non_crop__,1.0,NC:additive
caffeine,__non_crop__,1.0,NC:additive
mineral,__non_crop__,1.0,NC:category-tag
vitamin,__non_crop__,1.0,NC:additive
