product_id,path,article,download_url,licence,artist,source_url
almond_raw,/img/products/almond_raw.jpg,Almond,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Almonds_-_in_shell%2C_shell_cracked_open%2C_shelled%2C_blanched.jpg/960px-Almonds_-_in_shell%2C_shell_cracked_open%2C_shelled%2C_blanched.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,CC BY-SA 4.0,Ivar Leidus,"https://commons.wikimedia.org/wiki/File:Almonds_-_in_shell,_shell_cracked_open,_shelled,_blanched.jpg"
aloo_paratha,/img/products/aloo_paratha.jpg,Paratha,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Triangle_paratha_%28cropped%29.JPG/960px-Triangle_paratha_%28cropped%29.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,CC BY-SA 4.0,Nithyasrm,https://commons.wikimedia.org/wiki/File:Triangle_paratha_(cropped).JPG
apple_juice_raw,/img/products/apple_juice_raw.jpg,Apple juice,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Apfelsaft_im_Glas.jpg/960px-Apfelsaft_im_Glas.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,CC BY-SA 3.0,Verband der deutschen Fruchtsaftindustrie e.V.,https://commons.wikimedia.org/wiki/File:Apfelsaft_im_Glas.jpg
apple_raw,/img/products/apple_raw.jpg,Apple,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Pink_lady_and_cross_section.jpg/960px-Pink_lady_and_cross_section.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,GFDL 1.2,fir0002 flagstaffotos [at] gmail.com Canon 20D + Sigma 150mm f/2.8,https://commons.wikimedia.org/wiki/File:Pink_lady_and_cross_section.jpg
apricot_raw,/img/products/apricot_raw.jpg,Apricot,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Apricot_and_cross_section.jpg/960px-Apricot_and_cross_section.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,GFDL 1.2,Fir0002,https://commons.wikimedia.org/wiki/File:Apricot_and_cross_section.jpg
ash_gourd_raw,/img/products/ash_gourd_raw.jpg,Wax gourd,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Benincasa_hispida_compose.jpg/960px-Benincasa_hispida_compose.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,CC BY-SA 3.0,"Akshay.paramatmuni1987 (left photo), মৌচুমী (bottom right photo), Zhangzhugang (upper right photo), montage by User:RoRo",https://commons.wikimedia.org/wiki/File:Benincasa_hispida_compose.jpg
avocado_raw,/img/products/avocado_raw.jpg,Avocado,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Persea_americana_fruit_2.JPG/960px-Persea_americana_fruit_2.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,CC BY-SA 3.0,B.navez,https://commons.wikimedia.org/wiki/File:Persea_americana_fruit_2.JPG
bajra_raw,/img/products/bajra_raw.jpg,Pearl millet,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Grain_millet%2C_early_grain_fill%2C_Tifton%2C_7-3-02.jpg/960px-Grain_millet%2C_early_grain_fill%2C_Tifton%2C_7-3-02.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Public domain,unknown,"https://commons.wikimedia.org/wiki/File:Grain_millet,_early_grain_fill,_Tifton,_7-3-02.jpg"
banana_raw,/img/products/banana_raw.jpg,Banana,https://upload.wikimedia.org/wikipedia/commons/d/de/Bananavarieties.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,CC BY-SA 3.0,TimothyPilgrim,https://commons.wikimedia.org/wiki/File:Bananavarieties.jpg
barley_raw,/img/products/barley_raw.jpg,Barley,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Barley_%28Hordeum_vulgare%29_-_United_States_National_Arboretum_-_24_May_2009.jpg/960px-Barley_%28Hordeum_vulgare%29_-_United_States_National_Arboretum_-_24_May_2009.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,CC BY 2.0,"Cliff from Arlington, Virginia, USA",https://commons.wikimedia.org/wiki/File:Barley_(Hordeum_vulgare)_-_United_States_National_Arboretum_-_24_May_2009.jpg
