product_id,crop_id,raw_grams_per_100g,yield_fraction,source
rice_raw,rice,100,0.67,S5:milling-ratio
wheat_raw,wheat,100,1.0,S1
onion_raw,onion,100,1.0,S1
potato_raw,potato,100,1.0,S1
tomato_raw,tomato,100,1.0,S1
sugarcane_raw,sugarcane,100,1.0,S1
banana_raw,banana,100,1.0,S1
mango_raw,mango,100,1.0,S1
apple_raw,apple,100,1.0,S1
coconut_raw,coconut,100,1.0,S1
chickpea_raw,chickpea,100,1.0,S1
lentil_raw,lentil,100,1.0,S1
groundnut_raw,groundnut,100,1.0,S1
soybean_raw,soybean,100,1.0,S1
cotton_raw,cotton,100,1.0,S1
milk_raw,milk,100,1.0,S2
egg_raw,egg,100,1.0,S2
chicken_raw,chicken_meat,100,1.0,S2
tea_raw,tea,100,1.0,S1
coffee_raw,coffee,100,0.84,S5:approx
biryani_chicken,rice,22,0.67,S5:recipe
biryani_chicken,chicken_meat,20,1.0,S5:recipe
biryani_chicken,onion,8,1.0,S5:recipe
biryani_chicken,milk,5,1.0,S5:recipe
biryani_chicken,tomato,4,1.0,S5:recipe
biryani_chicken,mustard,3,0.33,S5:recipe
biryani_chicken,garlic,1,1.0,S5:recipe
biryani_chicken,chilli,1,1.0,S5:recipe
biryani_veg,rice,24,0.67,S5:recipe
biryani_veg,potato,10,1.0,S5:recipe
biryani_veg,onion,8,1.0,S5:recipe
biryani_veg,tomato,5,1.0,S5:recipe
biryani_veg,green_pea,5,1.0,S5:recipe
biryani_veg,carrot,5,1.0,S5:recipe
biryani_veg,milk,5,1.0,S5:recipe
biryani_veg,mustard,3,0.33,S5:recipe
biryani_veg,garlic,1,1.0,S5:recipe
dal_rice,rice,15,0.67,S5:recipe
dal_rice,pigeonpea,8,1.0,S5:recipe
dal_rice,onion,3,1.0,S5:recipe
dal_rice,tomato,3,1.0,S5:recipe
dal_rice,mustard,1.5,0.33,S5:recipe
dal_rice,garlic,0.5,1.0,S5:recipe
roti,wheat,75,0.80,S5:recipe
idli,rice,25,0.67,S5:recipe
idli,black_gram,8,1.0,S5:recipe
dosa,rice,28,0.67,S5:recipe
dosa,black_gram,9,1.0,S5:recipe
masala_dosa,rice,20,0.67,S5:recipe
masala_dosa,black_gram,6,1.0,S5:recipe
masala_dosa,potato,18,1.0,S5:recipe
