crop_id,state,share,rep_district,lat,lon,source
rice,West Bengal,0.13,West Bengal,23.25,87.85,S4
rice,Uttar Pradesh,0.12,Uttar Pradesh,27.88,79.91,S4
rice,Punjab,0.11,Punjab,30.24,75.84,S4
rice,Telangana,0.09,Telangana,18.67,78.09,S4
rice,Andhra Pradesh,0.07,Andhra Pradesh,16.31,80.44,S4
rice,Odisha,0.06,Odisha,20.46,85.88,S4
rice,Bihar,0.06,Bihar,25.59,85.14,S4
rice,Chhattisgarh,0.06,Chhattisgarh,21.25,81.63,S4
rice,Tamil Nadu,0.06,Tamil Nadu,10.79,79.14,S4
rice,Assam,0.05,Assam,26.75,94.22,S4
rice,Madhya Pradesh,0.05,Madhya Pradesh,22.72,75.86,S4
rice,Haryana,0.04,Haryana,29.69,76.99,S4
rice,Maharashtra,0.03,Maharashtra,16.70,74.24,S4
rice,Karnataka,0.03,Karnataka,15.85,74.50,S4
rice,Gujarat,0.02,Gujarat,21.52,70.46,S4
rice,Jharkhand,0.02,Jharkhand,23.34,85.31,S4
wheat,Uttar Pradesh,0.31,Uttar Pradesh,28.98,77.71,S4
wheat,Madhya Pradesh,0.19,Madhya Pradesh,22.72,75.86,S4
wheat,Punjab,0.16,Punjab,30.90,75.86,S4
wheat,Haryana,0.11,Haryana,29.69,76.99,S4
wheat,Rajasthan,0.10,Rajasthan,26.91,75.79,S4
wheat,Bihar,0.06,Bihar,25.59,85.14,S4
wheat,Gujarat,0.03,Gujarat,21.52,70.46,S4
wheat,Maharashtra,0.02,Maharashtra,18.52,73.86,S4
wheat,Uttarakhand,0.01,Uttarakhand,28.97,79.40,S4
wheat,Himachal Pradesh,0.01,Himachal Pradesh,32.10,76.27,S4
sugarcane,Uttar Pradesh,0.45,Uttar Pradesh,28.98,77.71,S4
sugarcane,Maharashtra,0.20,Maharashtra,16.70,74.24,S4
sugarcane,Karnataka,0.11,Karnataka,15.85,74.50,S4
sugarcane,Tamil Nadu,0.06,Tamil Nadu,11.02,76.96,S4
sugarcane,Bihar,0.04,Bihar,25.59,85.14,S4
sugarcane,Gujarat,0.04,Gujarat,21.52,70.46,S4
sugarcane,Haryana,0.03,Haryana,29.69,76.99,S4
sugarcane,Uttarakhand,0.03,Uttarakhand,28.97,79.40,S4
sugarcane,Punjab,0.02,Punjab,30.90,75.86,S4
sugarcane,Andhra Pradesh,0.02,Andhra Pradesh,16.31,80.44,S4
potato,Uttar Pradesh,0.32,Uttar Pradesh,28.98,77.71,S4
