scan_id,product_id,region,litres,score,ts
seed_0001,biryani_chicken,Mumbai,601,65,2026-08-10T09:14:00Z
seed_0002,rice_raw,Mumbai,2498,82,2026-08-10T09:41:00Z
seed_0003,chai,Mumbai,115,4,2026-08-10T10:02:00Z
seed_0004,cotton_tshirt,Mumbai,2495,80,2026-08-10T10:30:00Z
seed_0005,dal_tadka,Mumbai,268,44,2026-08-10T11:05:00Z
seed_0006,okra_raw,Mumbai,362,52,2026-08-10T11:47:00Z
seed_0007,parle_g_biscuit,Mumbai,238,28,2026-08-10T12:20:00Z
seed_0008,biryani_chicken,Pune,601,65,2026-08-10T09:55:00Z
seed_0009,chai,Pune,115,4,2026-08-10T10:18:00Z
seed_0010,wheat_raw,Pune,1826,78,2026-08-10T11:00:00Z
seed_0011,paneer_butter_masala,Pune,392,57,2026-08-10T12:40:00Z
seed_0012,okra_raw,Pune,362,52,2026-08-10T13:15:00Z
seed_0013,rice_raw,Chennai,2498,82,2026-08-10T08:30:00Z
seed_0014,idli,Chennai,154,10,2026-08-10T08:55:00Z
seed_0015,sambar_rice,Chennai,321,50,2026-08-10T12:10:00Z
seed_0016,filter_coffee,Chennai,133,6,2026-08-10T16:20:00Z
seed_0017,cotton_tshirt,Chennai,2495,80,2026-08-10T17:05:00Z
seed_0018,biryani_chicken,Hyderabad,601,65,2026-08-10T13:30:00Z
seed_0019,mutton_curry,Hyderabad,1301,72,2026-08-10T13:45:00Z
seed_0020,chai,Hyderabad,115,4,2026-08-10T16:00:00Z
seed_0021,dal_tadka,Delhi,268,44,2026-08-10T13:20:00Z
seed_0022,roti,Delhi,69,2,2026-08-10T13:22:00Z
seed_0023,parle_g_biscuit,Delhi,238,28,2026-08-10T17:40:00Z
seed_0024,rice_raw,Bengaluru,2498,82,2026-08-10T12:00:00Z
seed_0025,masala_dosa,Bengaluru,262,42,2026-08-10T08:40:00Z
