from_crop,to_crop,message_key,rank
rice,pearl_millet,swap.millet,1
rice,sorghum,swap.millet,2
rice,finger_millet,swap.millet,3
wheat,sorghum,swap.millet,1
wheat,pearl_millet,swap.millet,2
buffalo_meat,chicken_meat,swap.meat,1
buffalo_meat,chickpea,swap.protein,2
goat_meat,chicken_meat,swap.meat,1
goat_meat,chickpea,swap.protein,2
sheep_meat,chicken_meat,swap.meat,1
chicken_meat,chickpea,swap.protein,1
chicken_meat,egg,swap.protein,2
cheese,chickpea,swap.protein,1
sesame,mustard,swap.oilseed,1
sunflower,mustard,swap.oilseed,1
groundnut,mustard,swap.oilseed,2
coffee,tea,swap.beverage,1
